Project#,imaged,Morphospecies#,MorphospeciesName,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,Zoosection,Zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,sex,identifiedBy,identificationRemarks,establismentMeans ,basisOfRecord,institutionID,datasetID,catalogNumber,institutionCode,collectionCode,individualCount,lifeStage,preparations,occurrenceRemarks,recordedBy,associatedMedia,associatedTaxa,associatedReferences,associatedSequences,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventTime,year,month,day,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,islandGroup,island,country,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,minimumElevationInMeters,maximumElevationInMeters,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,
SBBG-PIRU_0011,n,SBBG-PIRU_0006,Mordellistenini,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Tenebrionoidea,,Mordellidae,Mordellinae,,Mordellistenini,,,,,,,,Jose M. Flores,to morphospecies SBBG-PIRU_0006,,,,SBBG-PIRU_,0011,,,1,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,,,,,R21-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,R21-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R21,,,United States,California,Ventura,Piru,Lake Piru,,435 m,EGM96,,,34.49785995,-118.7588654,34.49785995,-118.7588654,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0012,n,SBBG-PIRU_0005,Curculionidae,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Curculionoidea,,Curculionidae,,,,,,,,,,,Jose M. Flores,to morphospecies SBBG-PIRU_0005,,,,SBBG-PIRU_,0012,,,1,adult,pinned,,José M. Flores & Neda Brehm ,,,,,Z6-NET,,beat net,30,beats,30 beats,11:00-13:30,2022,5,20,,Z6-NET,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z6,,,United States,California,Ventura,Piru,Lake Piru,,421 m,EGM96,,,34.49752808,-118.7583542,34.49752808,-118.7583542,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0013,n,SBBG-PIRU_0008,Stenopodius,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Chrysomeloidea,,Chrysomelidae,Cassidinae,,Chalepini,,Stenopodius,,,,,,Jose M. Flores,to morphospecies SBBG-PIRU_0008,,,,SBBG-PIRU_,0013,,,2,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,,,,,R21-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,R21-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R21,,,United States,California,Ventura,Piru,Lake Piru,,435 m,EGM96,,,34.49785995,-118.7588654,34.49785995,-118.7588654,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0014,n,,Dasytinae C,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Dasytinae,,,,,,,,,,Jose M. Flores,,,,,SBBG-PIRU_,0014,,,4,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,,,,,R21-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,R21-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R21,,,United States,California,Ventura,Piru,Lake Piru,,435 m,EGM96,,,34.49785995,-118.7588654,34.49785995,-118.7588654,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0015,n,,Dasytinae A,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Dasytinae,,,,,,,,,,Jose M. Flores,,,,,SBBG-PIRU_,0015,,,6,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,,,,,R5-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,R5-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R5,,,United States,California,Ventura,Piru,Lake Piru,,461 m,EGM96,,,34.49763489,-118.7609253,34.49763489,-118.7609253,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0016,n,SBBG-PIRU_0008,Stenopodius,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Chrysomeloidea,,Chrysomelidae,Cassidinae,,Chalepini,,Stenopodius,,,,,,Jose M. Flores,to morphospecies SBBG-PIRU_0008,,,,SBBG-PIRU_,0016,,,2,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,,,,,R5-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,R5-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R5,,,United States,California,Ventura,Piru,Lake Piru,,461 m,EGM96,,,34.49763489,-118.7609253,34.49763489,-118.7609253,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0017,n,SBBG-PIRU_0006,Mordellistenini,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Tenebrionoidea,,Mordellidae,Mordellinae,,Mordellistenini,,,,,,,,Jose M. Flores,to morphospecies SBBG-PIRU_0006,,,,SBBG-PIRU_,0017,,,1,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,,,,,R5-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,R5-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R5,,,United States,California,Ventura,Piru,Lake Piru,,461 m,EGM96,,,34.49763489,-118.7609253,34.49763489,-118.7609253,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0018,n,,Dasytinae A,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Dasytinae,,,,,,,,,,Jose M. Flores,,,,,SBBG-PIRU_,0018,,,4,adult,80% EtOH,,"Kylie J. Etter, Sarah J. Cusser, & Madison Hall",,,,,R9-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,R9-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R9,,,United States,California,Ventura,Piru,Lake Piru,,466 m,EGM96,,,34.49785233,-118.7607956,34.49785233,-118.7607956,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0019,n,,Dasytinae E,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Dasytinae,,,,,,,,,,Jose M. Flores,,,,,SBBG-PIRU_,0019,,,1,adult,80% EtOH,,"Kylie J. Etter, Sarah J. Cusser, & Madison Hall",,,,,R9-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,R9-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R9,,,United States,California,Ventura,Piru,Lake Piru,,466 m,EGM96,,,34.49785233,-118.7607956,34.49785233,-118.7607956,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0020,queued,,Dasytinae F,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Dasytinae,,,,,,,,,,Jose M. Flores,,,,,SBBG-PIRU_,0020,,,1,adult,80% EtOH,,"Kylie J. Etter, Sarah J. Cusser, & Madison Hall",,,,,R9-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,R9-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R9,,,United States,California,Ventura,Piru,Lake Piru,,466 m,EGM96,,,34.49785233,-118.7607956,34.49785233,-118.7607956,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0021,n,,Dasytinae A,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Dasytinae,,,,,,,,,,Jose M. Flores,,,,,SBBG-PIRU_,0021,,,1,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,,,,,R19-1,,pitfall trap,24,hours,24 hours,9:00AM 2022/5/19 - 9:00AM 2022/5/20,2022,5,20,,R19-1,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R19,,,United States,California,Ventura,Piru,Lake Piru,,446 m,EGM96,,,34.49811172,-118.7587509,34.49811172,-118.7587509,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0022,y,SBBG-PIRU_0022,Latridiidae,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Coccinelloidea,,,Latridiidae,,,,,,,,,,Jose M. Flores,to Latridiidae,,,,SBBG-PIRU_,0022,,,1,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,https://www.inaturalist.org/observations/150697904,,,,R18-1,,pitfall trap,24,hours,24 hours,9:00AM 2022/5/19 - 9:00AM 2022/5/20,2022,5,20,,R18-1,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a restoration plot, and 18 different species of native plants were planted in rows in March 2022.",R18,,,United States,California,Ventura,Piru,Lake Piru,,446 m,EGM96,,,34.49809265,-118.7588654,34.49809265,-118.7588654,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0023,n,SBBG-PIRU_0023,Nyctoporis,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Tenebrionoidea,,Tenebrionidae,Pimeliinae,,Nyctoporini,,Nyctoporis,,,,,,Jose M. Flores,to Nyctoporis,,,,SBBG-PIRU_,0023,,,1,adult,80% EtOH,,José M. Flores & Neda Brehm ,,,,,Z6-1,,pitfall trap,24,hours,24 hours,9:00AM 2022/5/19 - 9:00AM 2022/5/20,2022,5,20,,Z6-1,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z6,,,United States,California,Ventura,Piru,Lake Piru,,421 m,EGM96,,,34.49752808,-118.7583542,34.49752808,-118.7583542,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0024,n,SBBG-PIRU_0023,Nyctoporis,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Tenebrionoidea,,Tenebrionidae,Pimeliinae,,Nyctoporini,,Nyctoporis,,,,,,Jose M. Flores,to morphospecies SBBG-PIRU_0023,,,,SBBG-PIRU_,0024,,,1,adult,80% EtOH,,José M. Flores & Neda Brehm ,,,,,Z2-1,,pitfall trap,24,hours,24 hours,9:00AM 2022/5/19 - 9:00AM 2022/5/20,2022,5,20,,Z2-1,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z2,,,United States,California,Ventura,Piru,Lake Piru,,421 m,EGM96,,,34.49745941,-118.7577286,34.49745941,-118.7577286,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
