year,eventID,plotType,samplingProtocol
2022,R22-NET-2022,Restoration,sweep net
2022,R23-NET-2022,Restoration,sweep net
2022,R3-1-2022,Restoration,pitfall trap
2022,R4-1-2022,Restoration,pitfall trap
2022,R5-1-2022,Restoration,pitfall trap
2022,R6-1-2022,Restoration,pitfall trap
2022,R7-1-2022,Restoration,pitfall trap
2022,R8-1-2022,Restoration,pitfall trap
2022,R9-1-2022,Restoration,pitfall trap
2022,R10-1-2022,Restoration,pitfall trap
2022,R16-1-2022,Restoration,pitfall trap
2022,R17-1-2022,Restoration,pitfall trap
2022,R18-1-2022,Restoration,pitfall trap
2022,R19-1-2022,Restoration,pitfall trap
2022,R20-1-2022,Restoration,pitfall trap
2022,R21-1-2022,Restoration,pitfall trap
2022,R22-1-2022,Restoration,pitfall trap
2022,R23-1-2022,Restoration,pitfall trap
2022,R3-2-2022,Restoration,pitfall trap
2022,R4-2-2022,Restoration,pitfall trap
2022,R5-2-2022,Restoration,pitfall trap
2022,R6-2-2022,Restoration,pitfall trap
2022,R7-2-2022,Restoration,pitfall trap
2022,R8-2-2022,Restoration,pitfall trap
2022,R9-2-2022,Restoration,pitfall trap
2022,R10-2-2022,Restoration,pitfall trap
2022,R16-2-2022,Restoration,pitfall trap
2022,R17-2-2022,Restoration,pitfall trap
2022,R18-2-2022,Restoration,pitfall trap
2022,R19-2-2022,Restoration,pitfall trap
2022,R20-2-2022,Restoration,pitfall trap
2022,R21-2-2022,Restoration,pitfall trap
2022,R22-2-2022,Restoration,pitfall trap
2022,R23-2-2022,Restoration,pitfall trap
2023,C3-NET-2023,Control,sweep net
2023,C4-NET-2023,Control,sweep net
2023,C5-NET-2023,Control,sweep net
2023,C6-NET-2023,Control,sweep net
2023,C7-NET-2023,Control,sweep net
2023,C8-NET-2023,Control,sweep net
2023,C9-NET-2023,Control,sweep net
2023,C10-NET-2023,Control,sweep net
2023,C16-NET-2023,Control,sweep net
2023,C17-NET-2023,Control,sweep net
2023,C18-NET-2023,Control,sweep net
2023,C19-NET-2023,Control,sweep net
2023,C20-NET-2023,Control,sweep net
2023,C21-NET-2023,Control,sweep net
2023,C22-NET-2023,Control,sweep net
2023,C23-NET-2023,Control,sweep net
2023,C3-1-2023,Control,pitfall trap
2023,C4-1-2023,Control,pitfall trap
2023,C5-1-2023,Control,pitfall trap
2023,C6-1-2023,Control,pitfall trap
2023,C7-1-2023,Control,pitfall trap
2023,C8-1-2023,Control,pitfall trap
2023,C9-1-2023,Control,pitfall trap
2023,C10-1-2023,Control,pitfall trap
2023,C16-1-2023,Control,pitfall trap
2023,C17-1-2023,Control,pitfall trap
2023,C18-1-2023,Control,pitfall trap
2023,C19-1-2023,Control,pitfall trap
2023,C20-1-2023,Control,pitfall trap
2023,C21-1-2023,Control,pitfall trap
2023,C22-1-2023,Control,pitfall trap
2023,C23-1-2023,Control,pitfall trap
2023,C3-2-2023,Control,pitfall trap
2023,C4-2-2023,Control,pitfall trap
2023,C5-2-2023,Control,pitfall trap
2023,C6-2-2023,Control,pitfall trap
2023,C7-2-2023,Control,pitfall trap
2023,C8-2-2023,Control,pitfall trap
2023,C9-2-2023,Control,pitfall trap
2023,C10-2-2023,Control,pitfall trap
2023,C16-2-2023,Control,pitfall trap
2023,C17-2-2023,Control,pitfall trap
2023,C18-2-2023,Control,pitfall trap
2023,C19-2-2023,Control,pitfall trap
2023,C20-2-2023,Control,pitfall trap
2023,C21-2-2023,Control,pitfall trap
2023,C22-2-2023,Control,pitfall trap
2023,C23-2-2023,Control,pitfall trap
2023,R3-NET-2023,Restoration,sweep net
2023,R4-NET-2023,Restoration,sweep net
2023,R5-NET-2023,Restoration,sweep net
2023,R6-NET-2023,Restoration,sweep net
2023,R7-NET-2023,Restoration,sweep net
2023,R8-NET-2023,Restoration,sweep net
2023,R9-NET-2023,Restoration,sweep net
2023,R10-NET-2023,Restoration,sweep net
2023,R16-NET-2023,Restoration,sweep net
2023,R17-NET-2023,Restoration,sweep net
2023,R18-NET-2023,Restoration,sweep net
2023,R19-NET-2023,Restoration,sweep net
2023,R20-NET-2023,Restoration,sweep net
2023,R21-NET-2023,Restoration,sweep net
2023,R22-NET-2023,Restoration,sweep net
2023,R23-NET-2023,Restoration,sweep net
2023,R3-1-2023,Restoration,pitfall trap
2023,R4-1-2023,Restoration,pitfall trap
2023,R5-1-2023,Restoration,pitfall trap
2023,R6-1-2023,Restoration,pitfall trap
2023,R7-1-2023,Restoration,pitfall trap
2023,R8-1-2023,Restoration,pitfall trap
2023,R9-1-2023,Restoration,pitfall trap
2023,R10-1-2023,Restoration,pitfall trap
2023,R16-1-2023,Restoration,pitfall trap
2023,R17-1-2023,Restoration,pitfall trap
2023,R18-1-2023,Restoration,pitfall trap
2023,R19-1-2023,Restoration,pitfall trap
2023,R20-1-2023,Restoration,pitfall trap
2023,R21-1-2023,Restoration,pitfall trap
2023,R22-1-2023,Restoration,pitfall trap
2023,R23-1-2023,Restoration,pitfall trap
2023,R3-2-2023,Restoration,pitfall trap
2023,R4-2-2023,Restoration,pitfall trap
2023,R5-2-2023,Restoration,pitfall trap
2023,R6-2-2023,Restoration,pitfall trap
2023,R7-2-2023,Restoration,pitfall trap
2023,R8-2-2023,Restoration,pitfall trap
2023,R9-2-2023,Restoration,pitfall trap
2023,R10-2-2023,Restoration,pitfall trap
2023,R16-2-2023,Restoration,pitfall trap
2023,R17-2-2023,Restoration,pitfall trap
2023,R18-2-2023,Restoration,pitfall trap
2023,R19-2-2023,Restoration,pitfall trap
2023,R20-2-2023,Restoration,pitfall trap
2023,R21-2-2023,Restoration,pitfall trap
2023,R22-2-2023,Restoration,pitfall trap
2023,R23-2-2023,Restoration,pitfall trap
2022,Z1-NET-2022,Reference,beat net
2022,Z2-NET-2022,Reference,beat net
2022,Z3-NET-2022,Reference,beat net
2022,Z4-NET-2022,Reference,beat net
2022,Z5-NET-2022,Reference,beat net
2022,Z6-NET-2022,Reference,beat net
2022,Z7-NET-2022,Reference,beat net
2022,Z8-NET-2022,Reference,beat net
2022,Z1-1-2022,Reference,pitfall trap
2022,Z2-1-2022,Reference,pitfall trap
2022,Z3-1-2022,Reference,pitfall trap
2022,Z4-1-2022,Reference,pitfall trap
2022,Z5-1-2022,Reference,pitfall trap
2022,Z6-1-2022,Reference,pitfall trap
2022,Z7-1-2022,Reference,pitfall trap
2022,Z8-1-2022,Reference,pitfall trap
2022,Z1-2-2022,Reference,pitfall trap
2022,Z2-2-2022,Reference,pitfall trap
2022,Z3-2-2022,Reference,pitfall trap
2022,Z4-2-2022,Reference,pitfall trap
2022,Z5-2-2022,Reference,pitfall trap
2022,Z6-2-2022,Reference,pitfall trap
2022,Z7-2-2022,Reference,pitfall trap
2022,Z8-2-2022,Reference,pitfall trap
2023,Z1-NET-2023,Reference,beat net
2023,Z2-NET-2023,Reference,beat net
2023,Z3-NET-2023,Reference,beat net
2023,Z4-NET-2023,Reference,beat net
2023,Z5-NET-2023,Reference,beat net
2023,Z6-NET-2023,Reference,beat net
2023,Z7-NET-2023,Reference,beat net
2023,Z8-NET-2023,Reference,beat net
2023,Z1-1-2023,Reference,pitfall trap
2023,Z2-1-2023,Reference,pitfall trap
2023,Z3-1-2023,Reference,pitfall trap
2023,Z4-1-2023,Reference,pitfall trap
2023,Z5-1-2023,Reference,pitfall trap
2023,Z6-1-2023,Reference,pitfall trap
2023,Z7-1-2023,Reference,pitfall trap
2023,Z8-1-2023,Reference,pitfall trap
2023,Z1-2-2023,Reference,pitfall trap
2023,Z2-2-2023,Reference,pitfall trap
2023,Z3-2-2023,Reference,pitfall trap
2023,Z4-2-2023,Reference,pitfall trap
2023,Z5-2-2023,Reference,pitfall trap
2023,Z6-2-2023,Reference,pitfall trap
2023,Z7-2-2023,Reference,pitfall trap
2023,Z8-2-2023,Reference,pitfall trap
2022,R18-X-2022,Restoration,
